dataset,edge_idx,src_node,dst_node,true_class,is_zeroday,edge_mask_sum,method,node_importance,top1_feature,top1_score,top2_feature,top2_score,top3_feature,top3_score,top4_feature,top4_score,top5_feature,top5_score
CIC-IDS-2017,392870,78574,53290,10,1,0.0,Gradient,"[8.295998668472748e-06, 4.777072717843112e-06, 2.379049192313687e-06, 3.555517196218716e-06, 8.319608241436072e-06, 4.017173523607198e-06, 5.555761617870303e-06, 7.840384569135495e-06, 9.245714863936882e-06, 2.5981225917348638e-05, 4.961628746968927e-06, 3.819532594206976e-06, 7.4327713264210615e-06, 9.08683523448417e-06, 3.2312066196027445e-06, 2.8946456041012425e-06, 8.195450391212944e-06, 6.478694558609277e-06, 9.33769297262188e-06, 7.562699465779588e-06, 1.1357727998984046e-05, 4.352113592176465e-06, 9.082194083021022e-06, 7.389487109321635e-06, 3.899644525517942e-06, 3.8051434785302263e-06, 6.5984077082248405e-06, 6.366478828567779e-06, 1.628760583116673e-05, 9.721123205963522e-06, 6.957112418604083e-06, 1.453042131061011e-07, 3.867973646265455e-06, 1.1727009763262686e-07, 4.8969841373036616e-06, 3.670103751574061e-06, 3.799068053922383e-06, 4.139757038501557e-06, 6.145090992504265e-06, 9.881253390631173e-06, 2.1170983018237166e-05, 8.464178790745791e-06, 1.6559519281145185e-05, 1.2330972822383046e-05, 3.845208539132727e-06, 2.824801185852266e-06, 1.8658696717466228e-05, 7.300905963347759e-06, 6.446114639402367e-06, 3.9128858588810544e-06, 1.925345259223832e-06, 1.155464633484371e-05, 1.6106636394397356e-05, 1.1833571079478133e-05, 5.728216819989029e-06, 3.5373500395508017e-06, 1.1042023118079669e-07, 1.5280446064025455e-07, 1.0622012780459045e-07, 2.8090451564821706e-07, 1.2003539495708537e-07, 1.1089687035337192e-07, 4.908519258606248e-06, 9.31024806050118e-06, 4.134471510042204e-06, 2.7729145131161204e-06, 7.178860414569499e-06, 1.267784864467103e-05, 3.830435161944479e-06, 4.975566753273597e-06, 3.3378312309650937e-06, 5.773921202489873e-06, 5.2426034926611464e-06, 7.81469680077862e-06, 5.299023541738279e-06, 3.4113211313524516e-06, 6.788197879359359e-06, 4.993617949367035e-06]",Fwd Packet Length Std,2.6e-05,Packet Length Mean,2.1e-05,PSH Flag Count,1.9e-05,Packet Length Variance,1.7e-05,Bwd IAT Max,1.6e-05
CIC-IDS-2017,219279,43855,81894,10,1,0.0,Gradient,"[9.312921974924393e-06, 4.814392468688311e-06, 2.31894887292583e-06, 3.8873199628142174e-06, 6.164883416204248e-06, 3.85795783586218e-06, 2.056701669062022e-05, 3.2863647447811672e-06, 4.5591955313284416e-06, 1.1293690477032214e-05, 5.727903044316918e-06, 5.035165486333426e-06, 5.7919369282899424e-06, 7.662644748052116e-06, 3.960157755500404e-06, 2.9350251224968815e-06, 1.7034783013514243e-05, 9.173157195618842e-06, 6.437629508582177e-06, 6.684248546662275e-06, 6.915855010447558e-06, 3.364852091181092e-06, 7.120580448827241e-06, 2.8695505989162484e-06, 1.1408455065975431e-05, 6.098218364058994e-06, 4.518892183114076e-06, 4.8374813559348695e-06, 1.3185372154111974e-05, 8.290791811305098e-06, 5.03926639794372e-06, 2.2271773048032628e-07, 1.8750482695395476e-06, 1.061985344108507e-07, 2.5659117000031983e-06, 3.3228297979803756e-06, 4.740180884255096e-06, 6.304885118879611e-06, 3.7636125398421427e-06, 3.6876872400171123e-06, 2.262945235997904e-05, 1.0362939974584151e-05, 7.024897513474571e-06, 6.622217370022554e-06, 3.5113284866383765e-06, 2.2183819510246394e-06, 1.1412329513404984e-05, 8.994710697152186e-06, 3.1158331239566905e-06, 1.9045653516513994e-06, 1.975847226276528e-06, 9.464419235882815e-06, 2.15262462006649e-05, 9.646910257288255e-06, 8.975625860330183e-06, 3.848201231448911e-06, 8.637324100391197e-08, 1.2727333853490563e-07, 1.0411097406404224e-07, 1.2197816090520064e-07, 1.6840604644130508e-07, 1.462544503283425e-07, 4.7147264012892265e-06, 4.643562533601653e-06, 4.545552656054497e-06, 4.1119096749753226e-06, 5.665828211931512e-06, 8.809345672489144e-06, 3.754703129743575e-06, 3.5309692520968383e-06, 3.3917617656697985e-06, 2.7607275114860386e-06, 2.122161731676897e-06, 5.133477316121571e-06, 3.015303718711948e-06, 1.8781753396979184e-06, 3.3099859138019383e-06, 2.9020609417784726e-06]",Packet Length Mean,2.3e-05,Average Packet Size,2.2e-05,Fwd Packet Length Max,2.1e-05,Flow IAT Mean,1.7e-05,Bwd IAT Max,1.3e-05
CIC-IDS-2017,331023,66204,55341,10,1,0.0,Gradient,"[4.834380888496526e-06, 5.441331722977338e-06, 5.213154054217739e-06, 2.8479742013587384e-06, 1.4529349755321164e-05, 6.530869086418534e-06, 7.783863111399114e-06, 7.879865734139457e-06, 1.8570306565379724e-05, 3.785033186431974e-05, 4.595261998474598e-06, 4.691577942139702e-06, 3.6812909911532188e-06, 1.6590176528552547e-05, 4.7314242692664266e-06, 2.5314691356470576e-06, 1.707107003312558e-05, 7.390891369141173e-06, 1.3430510989564937e-05, 1.0715528333093971e-05, 8.290569894597866e-06, 9.783339919522405e-06, 1.4384800124389585e-05, 1.3578714970208239e-05, 4.13323868997395e-06, 1.1601209735090379e-05, 3.683719569380628e-06, 6.669220965704881e-06, 2.5118655685218982e-05, 1.3560947991209105e-05, 1.1339397133269813e-05, 3.029763320228085e-07, 4.304563844925724e-06, 1.4586420604700834e-07, 6.031035809428431e-06, 3.661001301225042e-06, 2.597101229184773e-06, 6.867859156045597e-06, 5.150480319571216e-06, 7.308549356821459e-06, 3.066298449994065e-05, 1.8074113540933467e-05, 2.8163663955638185e-05, 1.2974266610399354e-05, 3.739184194273548e-06, 1.5583397043883451e-06, 2.068006324407179e-05, 3.7950821933918633e-06, 7.2536254265287425e-06, 2.6471848286746535e-06, 2.139203843398718e-06, 2.3315305952564813e-05, 2.4540066078770906e-05, 1.7215195839526132e-05, 9.066493475984316e-06, 4.337164227763424e-06, 8.151477004503249e-08, 1.269524716462911e-07, 1.5546304155122925e-07, 2.3510978053309373e-07, 1.9312984989028337e-07, 1.4910071399754088e-07, 6.8035842559766024e-06, 1.3016383491049055e-05, 3.7233710372674977e-06, 4.42743839812465e-06, 1.6649311874061823e-05, 1.99900969164446e-05, 3.98243992094649e-06, 6.90512433720869e-06, 2.7487039915286005e-06, 4.152369001531042e-06, 4.1639909795776475e-06, 9.658441740612034e-06, 4.44858369519352e-06, 7.301410278159892e-06, 6.087389465392334e-06, 6.799769380450016e-06]",Fwd Packet Length Std,3.8e-05,Packet Length Mean,3.1e-05,Packet Length Variance,2.8e-05,Bwd IAT Max,2.5e-05,Average Packet Size,2.5e-05
CIC-IDS-2017,46234,9246,7752,10,1,0.0,Gradient,"[5.2431237236305606e-06, 6.6547663664096035e-06, 2.3415211671817815e-06, 2.648958570716786e-06, 7.5640696195478085e-06, 2.572651737864362e-06, 1.3395245332503691e-05, 5.8267951317247935e-06, 1.0248189937556162e-05, 2.5345158064737916e-05, 7.1072072387323715e-06, 9.604151273379102e-06, 3.0482472084258916e-06, 5.5030773182807025e-06, 2.7758428586821537e-06, 1.8173824400946614e-06, 1.0935127647826448e-05, 2.1119780285516754e-05, 8.280309884867165e-06, 1.6852200133143924e-05, 1.5964937119861133e-05, 6.729844699293608e-06, 1.7363241568091325e-05, 7.278340490302071e-06, 1.0425364052935038e-05, 5.0511689551058225e-06, 3.3813378195191035e-06, 5.129730197950266e-06, 8.806974619801622e-06, 3.0440330647252267e-06, 1.7617207959119696e-06, 7.618015018806545e-08, 1.277910769204027e-06, 6.256391316128429e-08, 2.1572395780822262e-06, 1.5112973414943554e-06, 3.8493935790029354e-06, 3.7952324873913312e-06, 1.3120932635501958e-05, 6.284213668550365e-06, 1.677136606303975e-05, 2.540771902204142e-06, 1.558298390591517e-05, 1.22206565720262e-05, 2.117855729011353e-06, 2.6114025786228012e-06, 2.0487195797613822e-05, 2.577046416263329e-06, 1.1529493349371478e-05, 2.354549224037328e-06, 2.2970173176872777e-06, 1.3029525689489674e-05, 7.358201855822699e-06, 8.57584109326126e-06, 3.339144541314454e-06, 2.937471890618326e-06, 9.582115012563008e-08, 1.4263818570725562e-07, 5.7779150353098885e-08, 9.079267471179264e-08, 1.1567495761255486e-07, 7.680620228711632e-08, 2.139334128514747e-06, 9.766736184246838e-06, 2.951360102088074e-06, 2.1261203073663637e-06, 1.632010389585048e-05, 1.278683794225799e-05, 1.618935357328155e-06, 7.392653060378507e-06, 2.2482427084469236e-06, 2.5797974103625165e-06, 3.3657217954896623e-06, 9.841319297265727e-06, 4.884954705630662e-06, 3.3647804684733273e-06, 7.308845397346886e-06, 6.950857823539991e-06]",Fwd Packet Length Std,2.5e-05,Flow IAT Std,2.1e-05,PSH Flag Count,2e-05,Fwd IAT Std,1.7e-05,Flow IAT Min,1.7e-05
CIC-IDS-2017,215924,43184,79684,10,1,0.0,Gradient,"[1.3456359738484025e-05, 4.292614903533831e-06, 2.7159276214661077e-06, 1.7933663229996455e-06, 8.275770596810617e-06, 2.4554490209993673e-06, 1.1893961527675856e-05, 4.613733381120255e-06, 6.783036042179447e-06, 1.9187875295756385e-05, 2.2152382825879613e-06, 1.8843064708562451e-06, 2.302318762303912e-06, 9.119969945459161e-06, 3.651631459433702e-06, 2.107090040226467e-06, 9.137950655713212e-06, 5.9870399127248675e-06, 9.860369573289063e-06, 3.6586120586434845e-06, 9.089900231629144e-06, 3.66019753528235e-06, 2.8297386052145157e-06, 3.777015535888495e-06, 5.520869308384135e-06, 3.731485548996716e-06, 2.4905828013288556e-06, 4.012538738606963e-06, 1.2079451153113041e-05, 7.118088433344383e-06, 5.676966338796774e-06, 7.751540920253319e-08, 1.5091301293068682e-06, 4.8407738262312705e-08, 3.7298407278285595e-06, 2.243611561425496e-06, 1.6269676734737004e-06, 4.755702775582904e-06, 3.086285232711816e-06, 3.6271078442950966e-06, 2.3762135242577642e-05, 1.132707348006079e-05, 8.42576537252171e-06, 9.632515684643295e-06, 2.871645392588107e-06, 1.2373974414003897e-06, 2.126706749550067e-05, 1.1541746061993763e-05, 2.2083177100284956e-06, 1.3900187241233652e-06, 1.9104697912553092e-06, 8.517989954270888e-06, 1.796163633116521e-05, 1.1652347893686965e-05, 9.790314834390301e-06, 1.8484586234990275e-06, 8.451646493767839e-08, 7.135697899229854e-08, 6.56110898944462e-08, 1.4346403531817487e-07, 7.898599108102644e-08, 7.822199421525511e-08, 1.8886685211327858e-06, 7.203955192380818e-06, 4.536222149909008e-06, 3.6651338177762227e-06, 8.420993253821507e-06, 1.2205624443595298e-05, 4.764609911944717e-06, 5.3435815061675385e-06, 3.928480055037653e-06, 1.6784326817287365e-06, 2.5695062504382804e-06, 4.403094408189645e-06, 3.7605539091600804e-06, 2.04162370209815e-06, 3.644990329121356e-06, 2.351891453145072e-06]",Packet Length Mean,2.4e-05,PSH Flag Count,2.1e-05,Fwd Packet Length Std,1.9e-05,Average Packet Size,1.8e-05,Destination Port,1.3e-05
CIC-IDS-2017,487768,97553,55225,2,0,0.0,Gradient,"[1.2324989256740082e-05, 9.7766169346869e-06, 3.1908425626170356e-06, 3.846331765089417e-06, 9.472220881434623e-06, 3.2255084079224616e-06, 3.448702045716345e-05, 7.155906587286154e-06, 9.62541889748536e-06, 1.0651629054336809e-05, 1.0540015864535235e-05, 1.3898315046390053e-05, 8.250191967817955e-06, 1.4738567188032903e-05, 1.6704336758266436e-06, 2.901850848502363e-06, 3.550412293407135e-05, 3.1042574846651405e-05, 1.1108873877674341e-05, 1.593838896951638e-05, 1.556656752654817e-05, 4.327006536186673e-06, 2.171618507418316e-05, 5.2083337322983425e-06, 1.841114499256946e-05, 5.5551381592522375e-06, 7.83586801844649e-06, 1.4898319022904616e-05, 5.181993401492946e-06, 1.0668702998373192e-05, 8.161214282154106e-06, 1.1158847001979666e-07, 2.4757921437412733e-06, 3.387649485375732e-07, 3.5870873489329824e-06, 3.3642029393377015e-06, 7.053080025798408e-06, 8.184340913430788e-06, 1.609685023140628e-05, 6.224943263077876e-06, 8.676714060129598e-06, 2.38876418734435e-05, 1.083328970707953e-05, 8.325981070811395e-06, 9.373506145493593e-06, 2.8074773581465706e-06, 7.561529855593108e-06, 1.9903425709344447e-05, 2.8868666049675085e-05, 2.6875395633396693e-06, 2.327209585928358e-06, 6.041705091774929e-06, 1.1415003427828196e-05, 5.9226099438092206e-06, 6.424258572224062e-06, 4.050247298437171e-06, 1.3877102844617184e-07, 1.880455045011331e-07, 1.2836555640660663e-07, 1.3677973242920416e-07, 4.0340293594454124e-07, 1.2459082654459053e-07, 3.3660123790468788e-06, 4.400464149512118e-06, 6.594145361304982e-06, 3.901974650943885e-06, 1.9654959032777697e-05, 8.736192285141442e-06, 7.361930784099968e-06, 4.5941301323182415e-06, 6.2976564549899194e-06, 6.734122507623397e-06, 5.592178240476642e-06, 1.5139810784603469e-05, 9.036510164150968e-06, 4.510108738031704e-06, 9.45022202358814e-06, 9.89780619420344e-06]",Flow IAT Mean,3.6e-05,Fwd Packet Length Max,3.4e-05,Flow IAT Std,3.1e-05,URG Flag Count,2.9e-05,Packet Length Std,2.4e-05
CIC-IDS-2017,47044,9408,94979,0,0,0.0,Gradient,"[3.322373595437966e-05, 6.182580364111345e-06, 4.699403689301107e-06, 7.966134944581427e-06, 7.643189746886492e-06, 3.7212246297713136e-06, 1.2250595318619162e-05, 4.9702698561304715e-06, 5.097934717923636e-06, 2.2165004338603467e-05, 1.7095551811507903e-05, 4.9704499360814225e-06, 8.905321010388434e-06, 1.7395963368471712e-05, 2.0945981304976158e-06, 3.832954917015741e-06, 2.2250986148719676e-05, 3.21795123454649e-05, 4.804451691597933e-06, 2.8098098482587375e-05, 1.3382634278968908e-05, 5.159611646377016e-06, 1.50032683450263e-05, 7.126773652998963e-06, 2.1946189008303918e-05, 5.7979045777756255e-06, 1.1047978659917135e-05, 5.4764618653280195e-06, 8.36274466564646e-06, 4.5598444557981566e-06, 3.2324448966392083e-06, 1.4750636978533294e-07, 4.191881998849567e-06, 1.178789759137544e-07, 7.73919964558445e-06, 4.31502166975406e-06, 2.76636592388968e-06, 3.6137064398644725e-06, 3.1670639145886526e-05, 7.5333891800255515e-06, 7.13755480319378e-06, 4.874092610407388e-06, 8.73427779879421e-06, 2.2689309844281524e-05, 6.027939434716245e-06, 2.960491201520199e-06, 2.5130433641606942e-05, 1.2433878509909846e-05, 2.2629730665357783e-05, 4.201581305096624e-06, 4.4850130507256836e-06, 1.2158262507000472e-05, 8.414461262873374e-06, 3.345454388181679e-06, 6.0817574194516055e-06, 5.508998583536595e-06, 2.1018743723288935e-07, 2.08622253694557e-07, 1.557869069301887e-07, 2.0100117126276018e-07, 3.7730757185272523e-07, 1.4038226936463616e-07, 5.2262653298384976e-06, 1.0126479537575506e-05, 3.771710680666729e-06, 5.1345477913855575e-06, 6.957560253795236e-05, 2.2047584934625775e-05, 5.4289585023070686e-06, 3.5084444789390545e-06, 4.006356448371662e-06, 1.202706425829092e-05, 4.1708080971147865e-06, 1.8570763131720014e-05, 1.958810753421858e-05, 4.100933438166976e-06, 1.0464801562193315e-05, 9.78636944637401e-06]",Init_Win_bytes_forward,7e-05,Destination Port,3.3e-05,Flow IAT Std,3.2e-05,Min Packet Length,3.2e-05,Flow IAT Min,2.8e-05
CIC-IDS-2017,263112,52622,36679,0,0,0.0,Gradient,"[2.801200571411755e-05, 7.687303877901286e-06, 2.1852606550964992e-06, 7.675299457332585e-06, 6.072610176488524e-06, 3.6784006169909844e-06, 1.645611337153241e-05, 4.426618943398353e-06, 3.019052655872656e-06, 1.2075905033270828e-05, 2.8431074952095514e-06, 2.7249070626567118e-06, 4.469760369829601e-06, 1.0159375960938632e-05, 3.06737570099358e-06, 1.714042127787252e-06, 7.2588086368341465e-06, 5.108671302878065e-06, 6.421701982617378e-06, 1.6664112990838476e-05, 1.1388998245820403e-05, 4.536487722361926e-06, 3.5906803077523364e-06, 2.3979423531272914e-06, 7.862492566346191e-06, 1.0420241778774653e-05, 3.8135360682645114e-06, 3.4585993944347138e-06, 6.88417867422686e-06, 6.358739028655691e-06, 1.9789299585681874e-06, 9.722153748725759e-08, 2.269689503009431e-06, 6.614623515588391e-08, 2.907755288106273e-06, 3.996554369223304e-06, 1.7376128198520746e-06, 2.9224536319816252e-06, 1.0697108336898964e-05, 3.903914603142766e-06, 1.9841634639305994e-05, 8.009307748579886e-06, 4.330477622715989e-06, 1.3661669072462246e-05, 5.723719823436113e-06, 1.2979352277397993e-06, 1.755409175530076e-05, 1.549347143736668e-05, 1.0386695066699758e-05, 2.4656576442794176e-06, 2.5321858174720546e-06, 1.058883935911581e-05, 1.993044133996591e-05, 3.839702912955545e-06, 6.888673397043021e-06, 2.318794486200204e-06, 1.1539776778590749e-07, 1.008984469308416e-07, 1.0502539282697398e-07, 9.125478328542158e-08, 1.0365911862209032e-07, 1.9690733665811422e-07, 5.6367625802522525e-06, 5.8136533880315255e-06, 3.516689048410626e-06, 4.5485257942345925e-06, 4.094770338269882e-05, 5.835744104842888e-06, 3.476960955595132e-06, 3.538694727467373e-06, 2.044055918304366e-06, 9.286076419812161e-06, 2.5661865947768092e-06, 5.989261808281299e-06, 2.7644337023957632e-06, 1.7550298707647016e-06, 2.398972128503374e-06, 2.1619669041683665e-06]",Init_Win_bytes_forward,4.1e-05,Destination Port,2.8e-05,Average Packet Size,2e-05,Packet Length Mean,2e-05,PSH Flag Count,1.8e-05
CIC-IDS-2017,380412,76082,61297,0,0,0.0,Gradient,"[2.2619306037086062e-06, 2.073107452815748e-06, 4.588473530020565e-06, 2.215843551311991e-06, 1.0409681635792367e-05, 5.82846041652374e-06, 3.7826233892701566e-05, 1.3547270100389142e-05, 3.503446578179137e-06, 3.4434229746693745e-05, 2.086706444970332e-05, 5.92251717534964e-06, 9.225525900546927e-06, 7.977984751050826e-06, 1.7444407376387971e-06, 2.4063492674031295e-06, 2.67266841547098e-05, 3.4710530599113554e-05, 2.88423052552389e-06, 1.5379435353679582e-05, 2.832774725902709e-06, 4.666273525799625e-06, 2.4135084458976053e-05, 6.041067990736337e-06, 1.8826191080734134e-05, 2.0286808648961596e-05, 3.0092373890511226e-06, 8.658646038384177e-06, 1.2516967217379715e-05, 4.140878900216194e-06, 2.579997271823231e-06, 9.628563191199646e-08, 1.332628130512603e-06, 1.0188841059743936e-07, 1.8285484202351654e-06, 2.2261403955781134e-06, 8.161727237165906e-06, 1.4387606825039256e-05, 2.1751215172116645e-05, 7.510363957408117e-06, 1.4782524885958992e-05, 6.554922492796322e-06, 2.4373644919251092e-05, 2.918369091275963e-06, 4.3907639337703586e-06, 1.7628099158173427e-06, 1.0805436431837734e-05, 6.397671768354485e-06, 7.87898443377344e-06, 1.3184910585550824e-06, 1.4326051314128563e-06, 5.454745860333787e-06, 2.5154731702059507e-05, 5.8904993238684256e-06, 1.2860225069744047e-05, 2.095552872560802e-06, 8.078187363480538e-08, 9.03549661757097e-08, 1.0574026987342222e-07, 1.8333949469706567e-07, 2.286320608391179e-07, 1.5409216302941786e-07, 2.187187419622205e-06, 1.601913754711859e-05, 2.0156899154244456e-06, 3.4315478387725307e-06, 1.681588400970213e-05, 3.0651276574644726e-06, 2.7946052796323784e-06, 1.617040084056498e-06, 2.204166321462253e-06, 3.2617324450257e-06, 2.229101710327086e-06, 4.420078766997904e-06, 8.778095434536226e-06, 2.5117778932326473e-06, 7.874257789808325e-06, 1.2128175512771122e-05]",Fwd Packet Length Max,3.8e-05,Flow IAT Std,3.5e-05,Fwd Packet Length Std,3.4e-05,Flow IAT Mean,2.7e-05,Average Packet Size,2.5e-05
CIC-IDS-2017,367796,73559,15116,0,0,0.0,Gradient,"[3.655942782643251e-05, 3.4385127491987078e-06, 4.651068593375385e-06, 9.177123502013274e-06, 1.905235694721341e-05, 3.9434585232811514e-06, 6.839870366093237e-06, 4.564684786600992e-06, 2.7787832550529856e-06, 3.153633952024393e-05, 1.5802890629856847e-05, 6.709056378895184e-06, 3.611824013205478e-06, 1.0638143976393621e-05, 2.9352081583056133e-06, 3.179375426043407e-06, 1.7178421330754645e-05, 2.9354894650168717e-05, 8.43362431623973e-06, 2.1708323401981033e-05, 1.8528786313254386e-05, 3.4584993500175187e-06, 6.219746865099296e-06, 3.27047109749401e-06, 1.2148575478931889e-05, 7.787603863107506e-06, 8.78865466802381e-06, 1.2342075024207588e-05, 5.5236887419596314e-06, 4.028212515549967e-06, 2.790057351376163e-06, 2.2124547172097664e-07, 2.9206028102635173e-06, 2.334498248046657e-07, 4.5745723582513165e-06, 6.085483619244769e-06, 2.7661981221172027e-06, 2.854887043213239e-06, 2.6854733732761815e-05, 3.346939593029674e-06, 1.7403741367161274e-05, 2.5899828415276716e-06, 4.495889697864186e-06, 2.6128893296117894e-05, 7.062926670187153e-06, 3.42427074428997e-06, 3.59768710040953e-05, 1.4980087144067511e-05, 1.1998155059700366e-05, 3.0539920317096403e-06, 5.719920409319457e-06, 9.488117939326912e-06, 1.0028064025391359e-05, 4.930936029268196e-06, 9.197548024530988e-06, 3.3187284316227306e-06, 1.6778437839093385e-07, 3.1944756528901053e-07, 3.600616480525787e-07, 1.1720933201786465e-07, 4.219855327391997e-07, 1.0499907432404143e-07, 5.080482878838666e-06, 1.2852524378104135e-05, 6.738703632436227e-06, 3.5614377793535823e-06, 7.647091115359217e-05, 1.091625017579645e-05, 7.264588930411264e-06, 3.4976676488440717e-06, 1.0080052561534103e-05, 1.0225562618870754e-05, 6.255881999095436e-06, 1.6609130398137495e-05, 1.00471679616021e-05, 6.860818757559173e-06, 7.978669600561261e-06, 5.308205345500028e-06]",Init_Win_bytes_forward,7.6e-05,Destination Port,3.7e-05,PSH Flag Count,3.6e-05,Fwd Packet Length Std,3.2e-05,Flow IAT Std,2.9e-05
