dataset,edge_idx,src_node,dst_node,true_class,is_zeroday,edge_mask_sum,method,node_importance,top1_feature,top1_score,top2_feature,top2_score,top3_feature,top3_score,top4_feature,top4_score,top5_feature,top5_score
TON-IoT,78463,6,208,4,1,3.1639,GNNExplainer,"[0.0017986736493185163, 0.0014577677939087152, 0.0014292331179603934, 0.0014744390500709414, 0.0016832269029691815, 0.0017000007210299373, 0.0016267532482743263, 0.001835828647017479, 0.0014505225699394941, 0.0015937015414237976, 0.001647383556701243, 0.0015538905281573534, 0.0014272121479734778, 0.0017384663224220276, 0.0014906985452398658, 0.0014633641112595797, 0.0017170867649838328, 0.001713335863314569, 0.0014798769261687994, 0.0016810710076242685, 0.0013587090652436018, 0.0015130493557080626, 0.0016386207425966859, 0.0017478542868047953, 0.0015137476148083806, 0.0013657795498147607, 0.001451588119380176, 0.0014995741657912731, 0.0014212095411494374, 0.0015484192408621311, 0.001381263486109674, 0.0014359013875946403, 0.0014088836032897234, 0.0015034670941531658, 0.0016601035604253411, 0.00137130927760154, 0.0016621535178273916, 0.001367166405543685, 0.0016856964211910963, 0.0013454495929181576]",conn_state,0.001836,src_port,0.001799,ssl_resumed,0.001748,dns_query,0.001738,dns_rcode,0.001717
TON-IoT,78116,4,58,4,1,4048.3723,GNNExplainer,"[0.003835724899545312, 0.004210287239402533, 0.004006321541965008, 0.004110584035515785, 0.0037739367689937353, 0.004113695118576288, 0.004066900350153446, 0.003851590445265174, 0.004002993460744619, 0.003849696833640337, 0.003598576644435525, 0.0037920400500297546, 0.003783479332923889, 0.0042251842096447945, 0.003936431370675564, 0.0037632689345628023, 0.0037204213440418243, 0.004107189364731312, 0.004125756677240133, 0.0040407972410321236, 0.0038082459941506386, 0.0038752639666199684, 0.003928931895643473, 0.0038233657833188772, 0.0037166413385421038, 0.003785551991313696, 0.003786655841395259, 0.0038754448760300875, 0.003750614356249571, 0.0037160306237637997, 0.003731474978849292, 0.003932308871299028, 0.0038143352139741182, 0.003658834146335721, 0.0038448271807283163, 0.003720372449606657, 0.0038359607569873333, 0.0038181496784090996, 0.003959332127124071, 0.0037503119092434645]",dns_query,0.004225,dst_port,0.00421,dns_RD,0.004126,src_bytes,0.004114,service,0.004111
TON-IoT,78340,6,58,4,1,4049.5549,GNNExplainer,"[0.0038415626622736454, 0.004373413044959307, 0.0036728964187204838, 0.004344546236097813, 0.003883637022227049, 0.0041320351883769035, 0.004010646138340235, 0.0041353944689035416, 0.004055332392454147, 0.004206869285553694, 0.0037387206684798002, 0.004007957875728607, 0.003783222520723939, 0.004075598903000355, 0.004101890604943037, 0.004194844514131546, 0.003757433034479618, 0.00393945025280118, 0.0036716253962367773, 0.003944610711187124, 0.004096739459782839, 0.003769928589463234, 0.003926388453692198, 0.003734327619895339, 0.003977471496909857, 0.00382127333432436, 0.0036914574448019266, 0.0037703500129282475, 0.004001411143690348, 0.003726985538378358, 0.004189047031104565, 0.0038214491214603186, 0.003872593864798546, 0.0037004761397838593, 0.0037592898588627577, 0.0037167863920331, 0.003941111732274294, 0.0038089544977992773, 0.0036676526069641113, 0.0038741587195545435]",dst_port,0.004373,service,0.004345,src_pkts,0.004207,dns_qtype,0.004195,http_version,0.004189
TON-IoT,77752,6,176,4,1,6.1296,GNNExplainer,"[0.0012388528557494283, 0.0008926833397708833, 0.0010398232843726873, 0.0010072656441479921, 0.001190289156511426, 0.0011921674013137817, 0.0012456640833988786, 0.0012193501461297274, 0.0009670021827332675, 0.0013206254225224257, 0.0012421964202076197, 0.0008917790255509317, 0.0009618415497243404, 0.0012327658478170633, 0.0009270799928344786, 0.00097856973297894, 0.0011362744262441993, 0.0012359650572761893, 0.0010701247956603765, 0.001220543752424419, 0.0010016573360189795, 0.001081582740880549, 0.0011025858111679554, 0.0011402785312384367, 0.0009490291704423726, 0.0009769273456186056, 0.0009981612674891949, 0.0009361133561469615, 0.0009355932124890387, 0.00103848020080477, 0.0009360654512420297, 0.0009486866765655577, 0.0009622928919270635, 0.0009404962183907628, 0.0010173284681513906, 0.0009647871484048665, 0.0010039133485406637, 0.0010218729730695486, 0.0009523087646812201, 0.0009016949916258454]",src_pkts,0.001321,dst_bytes,0.001246,src_ip_bytes,0.001242,src_port,0.001239,dns_AA,0.001236
TON-IoT,78110,4,58,4,1,4050.1489,GNNExplainer,"[0.0037933674175292253, 0.0040774098597466946, 0.003727716626599431, 0.003965303767472506, 0.0039179353043437, 0.004135885741561651, 0.0040251086466014385, 0.003913280554115772, 0.00407438026741147, 0.003957333043217659, 0.0037857864517718554, 0.0037526690866798162, 0.003813850926235318, 0.00412750756368041, 0.004052120726555586, 0.0036913661751896143, 0.003661863273009658, 0.004082795698195696, 0.004025923553854227, 0.003965144511312246, 0.0038675961550325155, 0.003931611310690641, 0.004054301418364048, 0.003744532121345401, 0.0038192099891602993, 0.00393263204023242, 0.0038022662047296762, 0.0037172066513448954, 0.003648831509053707, 0.003904604120180011, 0.0038125242572277784, 0.003906767815351486, 0.0037029150407761335, 0.0037455677520483732, 0.0038289662916213274, 0.003848934080451727, 0.003728056326508522, 0.0037652230821549892, 0.0037502318155020475, 0.0036612108815461397]",src_bytes,0.004136,dns_query,0.004128,dns_AA,0.004083,dst_port,0.004077,missed_bytes,0.004074
TON-IoT,185854,50,68,9,0,5064.3281,GNNExplainer,"[0.006083988584578037, 0.0068687982857227325, 0.006776328198611736, 0.0067172120325267315, 0.006114084739238024, 0.006225929129868746, 0.006028225179761648, 0.006336790043860674, 0.006211184896528721, 0.006439692806452513, 0.006210017949342728, 0.006063474342226982, 0.0060196612030267715, 0.0065541802905499935, 0.006472439505159855, 0.006884745322167873, 0.006138433236628771, 0.006733285263180733, 0.006355120334774256, 0.006611824035644531, 0.006477807182818651, 0.00641412241384387, 0.006566883530467749, 0.006494659464806318, 0.00671414053067565, 0.005774311255663633, 0.006029610056430101, 0.006004412192851305, 0.006173100788146257, 0.006013800855726004, 0.006373899523168802, 0.006029876414686441, 0.006215227767825127, 0.006546700838953257, 0.006123356521129608, 0.006078202277421951, 0.006167703773826361, 0.006332154851406813, 0.006399575620889664, 0.006201768759638071]",dns_qtype,0.006885,dst_port,0.006869,proto,0.006776,dns_AA,0.006733,service,0.006717
TON-IoT,17839,1,52,0,0,3733.5068,GNNExplainer,"[0.0017593562370166183, 0.0017106588929891586, 0.0017587963957339525, 0.001744569861330092, 0.0016979107167571783, 0.0015634294832125306, 0.0016814108239486814, 0.0017406580736860633, 0.0013823953922837973, 0.0015095234848558903, 0.0014624770265072584, 0.001414626487530768, 0.001426537986844778, 0.00143818196374923, 0.001349590951576829, 0.001347432378679514, 0.0017227351199835539, 0.0014415994519367814, 0.0016712492797523737, 0.0014333265135064721, 0.001666185911744833, 0.0014689149102196097, 0.0014092163182795048, 0.0015442733420059085, 0.0014745190273970366, 0.0014432466123253107, 0.0013830807292833924, 0.0014242414617910981, 0.0014407190028578043, 0.0013636632356792688, 0.0014306402299553156, 0.0013821928296238184, 0.0014443440595641732, 0.0014941979898139834, 0.0014952936908230186, 0.0014685107162222266, 0.0013112167362123728, 0.0013898937031626701, 0.001335185137577355, 0.0014531692722812295]",src_port,0.001759,proto,0.001759,service,0.001745,conn_state,0.001741,dns_rcode,0.001723
TON-IoT,100771,40,65,5,0,18158.1309,GNNExplainer,"[0.008008303120732307, 0.007499523926526308, 0.00824067648500204, 0.007779606152325869, 0.007700133137404919, 0.007754659745842218, 0.007846237160265446, 0.007546642329543829, 0.00744415819644928, 0.007831394672393799, 0.007689157035201788, 0.007614948321133852, 0.007626573089510202, 0.0078039467334747314, 0.007728420197963715, 0.00796432513743639, 0.00767302792519331, 0.008020310662686825, 0.007887816056609154, 0.007991816848516464, 0.007889815606176853, 0.007673748768866062, 0.007463262416422367, 0.007567924447357655, 0.007558826822787523, 0.007655797991901636, 0.007507489062845707, 0.0077926660887897015, 0.007878733798861504, 0.007574989926069975, 0.0077216471545398235, 0.007901721633970737, 0.007768651936203241, 0.007619255222380161, 0.007537451572716236, 0.0075425319373607635, 0.00743704242631793, 0.008062463253736496, 0.00776677206158638, 0.00823147315531969]",proto,0.008241,weird_notice,0.008231,weird_name,0.008062,dns_AA,0.00802,src_port,0.008008
TON-IoT,145225,0,51,7,0,7744.0811,GNNExplainer,"[0.004822193179279566, 0.005144313909113407, 0.005143307149410248, 0.004932851064950228, 0.004824361763894558, 0.004919936880469322, 0.0049694133922457695, 0.005162859335541725, 0.004803260788321495, 0.005018879659473896, 0.004900170955806971, 0.004918089136481285, 0.004600499756634235, 0.004823455587029457, 0.005383823532611132, 0.005042913369834423, 0.005264558829367161, 0.004963715095072985, 0.005126688629388809, 0.005160639528185129, 0.005345355719327927, 0.004822460003197193, 0.004913296550512314, 0.004883516114205122, 0.005060629453510046, 0.004572371486574411, 0.004548896569758654, 0.004834431689232588, 0.00478367879986763, 0.004739806056022644, 0.004905228037387133, 0.004794691223651171, 0.004721262492239475, 0.004689511843025684, 0.004679693374782801, 0.004678814671933651, 0.004644579254090786, 0.005063217133283615, 0.0047171227633953094, 0.004854904022067785]",dns_qclass,0.005384,dns_rejected,0.005345,dns_rcode,0.005265,conn_state,0.005163,dns_RA,0.005161
TON-IoT,140416,3,62,6,0,8.2259,GNNExplainer,"[0.002164070960134268, 0.0016237583477050066, 0.0021124763879925013, 0.0024404374416917562, 0.0014026343123987317, 0.001371927559375763, 0.0015073803951963782, 0.002700474113225937, 0.0013870082329958677, 0.0019219209207221866, 0.0015466018812730908, 0.0014322054339572787, 0.0009513706318102777, 0.0022072582505643368, 0.0016124139074236155, 0.0023064708802849054, 0.0021617000456899405, 0.0026295031420886517, 0.0019419565796852112, 0.002265147864818573, 0.0019046744564548135, 0.0013923145597800612, 0.0018836627714335918, 0.001424797112122178, 0.0014712687116116285, 0.0009533107513561845, 0.00136070535518229, 0.0018676653271541, 0.001945184776559472, 0.0009195745224133134, 0.0017872723983600736, 0.0009506316855549812, 0.0009416007669642568, 0.0018344898708164692, 0.0018975285347551107, 0.0019142541568726301, 0.0018007938051596284, 0.0019221508409827948, 0.0014317261520773172, 0.001960452413186431]",conn_state,0.0027,dns_AA,0.00263,service,0.00244,dns_qtype,0.002306,dns_RA,0.002265
